#AMS02 (2011/05-2016/05)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
He 6.402648e+01 6.157485e+01 6.657434e+01 9.915020e-03 3.200329e-05 3.200329e-05 1.440148e-04 1.440148e-04 1.475279e-04 1.475279e-04
He 5.928307e+01 5.707539e+01 6.157485e+01 1.218546e-02 3.800455e-05 3.800455e-05 1.740209e-04 1.740209e-04 1.781225e-04 1.781225e-04
He 5.503991e+01 5.307594e+01 5.707539e+01 1.494207e-02 4.600638e-05 4.600638e-05 2.140297e-04 2.140297e-04 2.189185e-04 2.189185e-04
He 5.103776e+01 4.907659e+01 5.307594e+01 1.834095e-02 5.000804e-05 5.000804e-05 2.600418e-04 2.600418e-04 2.648066e-04 2.648066e-04
He 4.729516e+01 4.557724e+01 4.907659e+01 2.250420e-02 6.001121e-05 6.001121e-05 3.200598e-04 3.200598e-04 3.256373e-04 3.256373e-04
He 4.392316e+01 4.232794e+01 4.557724e+01 2.724588e-02 6.001296e-05 6.001296e-05 3.800821e-04 3.800821e-04 3.847908e-04 3.847908e-04
He 4.080136e+01 3.932869e+01 4.232794e+01 3.312826e-02 8.001996e-05 8.001996e-05 4.601148e-04 4.601148e-04 4.670212e-04 4.670212e-04
He 3.790385e+01 3.652950e+01 3.932869e+01 4.041164e-02 8.002305e-05 8.002305e-05 5.601614e-04 5.601614e-04 5.658485e-04 5.658485e-04
He 3.520654e+01 3.393036e+01 3.652950e+01 4.917636e-02 1.000333e-04 1.000333e-04 6.802263e-04 6.802263e-04 6.875423e-04 6.875423e-04
He 3.268351e+01 3.148131e+01 3.393036e+01 5.974297e-02 1.200462e-04 1.200462e-04 8.403231e-04 8.403231e-04 8.488545e-04 8.488545e-04
He 3.033656e+01 2.923230e+01 3.148131e+01 7.269230e-02 1.400622e-04 1.400622e-04 1.020453e-03 1.020453e-03 1.030020e-03 1.030020e-03
He 2.816389e+01 2.713338e+01 2.923230e+01 8.850542e-02 1.600822e-04 1.600822e-04 1.220626e-03 1.220626e-03 1.231078e-03 1.231078e-03
He 2.614139e+01 2.518454e+01 2.713338e+01 1.076638e-01 1.801068e-04 1.801068e-04 1.480878e-03 1.480878e-03 1.491790e-03 1.491790e-03
He 2.424316e+01 2.333581e+01 2.518454e+01 1.308097e-01 2.001372e-04 2.001372e-04 1.801235e-03 1.801235e-03 1.812320e-03 1.812320e-03
He 2.247103e+01 2.163716e+01 2.333581e+01 1.603272e-01 2.401906e-04 2.401906e-04 2.201747e-03 2.201747e-03 2.214810e-03 2.214810e-03
He 2.082316e+01 2.003863e+01 2.163716e+01 1.948189e-01 2.602390e-04 2.602390e-04 2.662445e-03 2.662445e-03 2.675133e-03 2.675133e-03
He 1.927548e+01 1.854022e+01 2.003863e+01 2.380534e-01 4.004262e-04 4.004262e-04 3.203410e-03 3.203410e-03 3.228340e-03 3.228340e-03
He 1.540142e+02 1.445709e+02 1.640705e+02 9.346169e-04 5.000090e-06 5.000090e-06 1.660030e-05 1.660030e-05 1.733698e-05 1.733698e-05
He 1.160963e+03 8.990684e+02 1.499068e+03 4.926002e-06 6.400002e-08 6.400002e-08 3.900001e-07 3.900001e-07 3.952165e-07 3.952165e-07
He 7.121605e+02 5.640687e+02 8.990684e+02 1.708401e-05 1.600001e-07 1.600001e-07 8.360007e-07 8.360007e-07 8.511740e-07 8.511740e-07
He 4.809557e+02 4.100690e+02 5.640687e+02 4.736009e-05 4.000008e-07 4.000008e-07 1.660003e-06 1.660003e-06 1.707516e-06 1.707516e-06
He 3.625750e+02 3.205693e+02 4.100690e+02 9.712032e-05 7.400025e-07 7.400025e-07 2.760009e-06 2.760009e-06 2.857491e-06 2.857491e-06
He 2.895754e+02 2.615696e+02 3.205693e+02 1.778009e-04 1.240006e-06 1.240006e-06 4.360022e-06 4.360022e-06 4.532925e-06 4.532925e-06
He 2.396549e+02 2.195699e+02 2.615696e+02 2.890022e-04 1.800013e-06 1.800013e-06 6.400048e-06 6.400048e-06 6.648358e-06 6.648358e-06
He 2.034832e+02 1.885702e+02 2.195699e+02 4.442046e-04 2.600027e-06 2.600027e-06 9.000094e-06 9.000094e-06 9.368129e-06 9.368129e-06
He 1.758966e+02 1.640705e+02 1.885702e+02 6.598092e-04 3.800053e-06 3.800053e-06 1.240017e-05 1.240017e-05 1.296937e-05 1.296937e-05
He 6.951022e+01 6.657434e+01 7.257381e+01 7.922694e-03 2.600228e-05 2.600228e-05 1.160102e-04 1.160102e-04 1.188885e-04 1.188885e-04
He 1.363382e+02 1.285713e+02 1.445709e+02 1.290630e-03 6.400148e-06 6.400148e-06 2.180050e-05 2.180050e-05 2.272056e-05 2.272056e-05
He 1.218996e+02 1.155716e+02 1.285713e+02 1.744250e-03 8.400242e-06 8.400242e-06 2.860082e-05 2.860082e-05 2.980891e-05 2.980891e-05
He 1.099355e+02 1.045720e+02 1.155716e+02 2.292081e-03 1.000035e-05 1.000035e-05 3.600127e-05 3.600127e-05 3.736440e-05 3.736440e-05
