#AMS02 (2011/05-2015/05)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1H-bar/e+ 7.760000e+01 7.490000e+01 8.050000e+01 5.350000e-01 3.900000e-02 3.900000e-02 5.110000e-02 5.110000e-02 6.428227e-02 6.428227e-02
1H-bar/e+ 4.350000e+01 4.190000e+01 4.510000e+01 5.280000e-01 2.100000e-02 2.100000e-02 2.830000e-02 2.830000e-02 3.524046e-02 3.524046e-02
1H-bar/e+ 4.680000e+01 4.510000e+01 4.850000e+01 5.180000e-01 2.300000e-02 2.300000e-02 4.870000e-02 4.870000e-02 5.385805e-02 5.385805e-02
1H-bar/e+ 5.030000e+01 4.850000e+01 5.220000e+01 5.340000e-01 2.500000e-02 2.500000e-02 3.180000e-02 3.180000e-02 4.045046e-02 4.045046e-02
1H-bar/e+ 5.410000e+01 5.220000e+01 5.610000e+01 5.200000e-01 2.600000e-02 2.600000e-02 3.820000e-02 3.820000e-02 4.620866e-02 4.620866e-02
1H-bar/e+ 5.820000e+01 5.610000e+01 6.030000e+01 5.460000e-01 3.000000e-02 3.000000e-02 3.540000e-02 3.540000e-02 4.640216e-02 4.640216e-02
1H-bar/e+ 6.250000e+01 6.030000e+01 6.480000e+01 5.070000e-01 3.000000e-02 3.000000e-02 3.640000e-02 3.640000e-02 4.716948e-02 4.716948e-02
1H-bar/e+ 6.720000e+01 6.480000e+01 6.970000e+01 4.770000e-01 3.000000e-02 3.000000e-02 2.840000e-02 2.840000e-02 4.131053e-02 4.131053e-02
1H-bar/e+ 7.220000e+01 6.970000e+01 7.490000e+01 4.810000e-01 3.200000e-02 3.200000e-02 3.620000e-02 3.620000e-02 4.831604e-02 4.831604e-02
1H-bar/e+ 4.040000e+01 3.890000e+01 4.190000e+01 5.190000e-01 1.900000e-02 1.900000e-02 3.910000e-02 3.910000e-02 4.347194e-02 4.347194e-02
1H-bar/e+ 8.650000e+01 8.050000e+01 9.300000e+01 4.410000e-01 2.500000e-02 2.500000e-02 2.780000e-02 2.780000e-02 3.738770e-02 3.738770e-02
1H-bar/e+ 1.000000e+02 9.300000e+01 1.080000e+02 4.730000e-01 3.200000e-02 3.200000e-02 4.280000e-02 4.280000e-02 5.344006e-02 5.344006e-02
1H-bar/e+ 1.160000e+02 1.080000e+02 1.250000e+02 4.810000e-01 4.100000e-02 4.100000e-02 4.030000e-02 4.030000e-02 5.748991e-02 5.748991e-02
1H-bar/e+ 1.350000e+02 1.250000e+02 1.470000e+02 4.960000e-01 4.900000e-02 4.900000e-02 4.250000e-02 4.250000e-02 6.486332e-02 6.486332e-02
1H-bar/e+ 1.600000e+02 1.470000e+02 1.750000e+02 4.080000e-01 5.100000e-02 5.100000e-02 3.700000e-02 3.700000e-02 6.300794e-02 6.300794e-02
1H-bar/e+ 1.920000e+02 1.750000e+02 2.110000e+02 4.710000e-01 8.000000e-02 8.000000e-02 5.100000e-02 5.100000e-02 9.487360e-02 9.487360e-02
1H-bar/e+ 2.340000e+02 2.110000e+02 2.590000e+02 5.430000e-01 1.050000e-01 1.050000e-01 6.930000e-02 6.930000e-02 1.258074e-01 1.258074e-01
1H-bar/e+ 3.410000e+02 2.590000e+02 4.500000e+02 3.850000e-01 1.050000e-01 1.050000e-01 6.480000e-02 6.480000e-02 1.233857e-01 1.233857e-01
1H-bar/e+ 2.190000e+01 2.110000e+01 2.280000e+01 5.350000e-01 1.100000e-02 1.100000e-02 3.940000e-02 3.940000e-02 4.090672e-02 4.090672e-02
1H-bar/e+ 1.150000e+01 1.100000e+01 1.200000e+01 3.970000e-01 5.000000e-03 5.000000e-03 3.060000e-02 3.060000e-02 3.100581e-02 3.100581e-02
1H-bar/e+ 1.250000e+01 1.200000e+01 1.300000e+01 4.150000e-01 6.000000e-03 6.000000e-03 2.970000e-02 2.970000e-02 3.030000e-02 3.030000e-02
1H-bar/e+ 1.350000e+01 1.300000e+01 1.410000e+01 4.500000e-01 7.000000e-03 7.000000e-03 3.960000e-02 3.960000e-02 4.021393e-02 4.021393e-02
1H-bar/e+ 1.470000e+01 1.410000e+01 1.530000e+01 4.820000e-01 8.000000e-03 8.000000e-03 3.470000e-02 3.470000e-02 3.561025e-02 3.561025e-02
1H-bar/e+ 1.590000e+01 1.530000e+01 1.660000e+01 4.780000e-01 8.000000e-03 8.000000e-03 3.620000e-02 3.620000e-02 3.707344e-02 3.707344e-02
1H-bar/e+ 1.730000e+01 1.660000e+01 1.800000e+01 4.860000e-01 8.000000e-03 8.000000e-03 3.700000e-02 3.700000e-02 3.785499e-02 3.785499e-02
1H-bar/e+ 1.870000e+01 1.800000e+01 1.950000e+01 4.920000e-01 9.000000e-03 9.000000e-03 3.540000e-02 3.540000e-02 3.652616e-02 3.652616e-02
1H-bar/e+ 2.030000e+01 1.950000e+01 2.110000e+01 5.090000e-01 1.000000e-02 1.000000e-02 4.180000e-02 4.180000e-02 4.297953e-02 4.297953e-02
1H-bar/e+ 1.050000e+01 1.010000e+01 1.100000e+01 3.770000e-01 5.000000e-03 5.000000e-03 2.980000e-02 2.980000e-02 3.021655e-02 3.021655e-02
1H-bar/e+ 2.370000e+01 2.280000e+01 2.470000e+01 5.240000e-01 1.100000e-02 1.100000e-02 3.480000e-02 3.480000e-02 3.649712e-02 3.649712e-02
1H-bar/e+ 2.570000e+01 2.470000e+01 2.670000e+01 5.520000e-01 1.200000e-02 1.200000e-02 4.350000e-02 4.350000e-02 4.512483e-02 4.512483e-02
1H-bar/e+ 2.770000e+01 2.670000e+01 2.880000e+01 5.500000e-01 1.300000e-02 1.300000e-02 3.390000e-02 3.390000e-02 3.630716e-02 3.630716e-02
