#AMS02 (2011/05-2017/11)
# Qty    <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
e+ 5.732000e+01 5.558000e+01 5.913000e+01 7.558000e-05 1.890000e-06 1.890000e-06 1.180000e-06 1.180000e-06 2.228116e-06 2.228116e-06
e+ 5.392000e+01 5.233000e+01 5.558000e+01 8.860000e-05 2.140000e-06 2.140000e-06 1.370000e-06 1.370000e-06 2.540964e-06 2.540964e-06
e+ 5.080000e+01 4.933000e+01 5.233000e+01 1.029000e-04 2.400000e-06 2.400000e-06 1.600000e-06 1.600000e-06 2.884441e-06 2.884441e-06
e+ 4.792000e+01 4.657000e+01 4.933000e+01 1.323000e-04 2.800000e-06 2.800000e-06 2.000000e-06 2.000000e-06 3.440930e-06 3.440930e-06
e+ 4.526000e+01 4.400000e+01 4.657000e+01 1.446000e-04 3.000000e-06 3.000000e-06 2.200000e-06 2.200000e-06 3.720215e-06 3.720215e-06
e+ 4.278000e+01 4.161000e+01 4.400000e+01 1.723000e-04 3.400000e-06 3.400000e-06 2.600000e-06 2.600000e-06 4.280187e-06 4.280187e-06
e+ 4.048000e+01 3.939000e+01 4.161000e+01 2.004000e-04 3.800000e-06 3.800000e-06 3.000000e-06 3.000000e-06 4.841487e-06 4.841487e-06
e+ 3.833000e+01 3.731000e+01 3.939000e+01 2.328000e-04 4.300000e-06 4.300000e-06 3.400000e-06 3.400000e-06 5.481788e-06 5.481788e-06
e+ 3.632000e+01 3.536000e+01 3.731000e+01 2.754000e-04 4.800000e-06 4.800000e-06 4.000000e-06 4.000000e-06 6.248200e-06 6.248200e-06
e+ 3.443000e+01 3.353000e+01 3.536000e+01 3.126000e-04 5.200000e-06 5.200000e-06 4.500000e-06 4.500000e-06 6.876772e-06 6.876772e-06
e+ 3.266000e+01 3.182000e+01 3.353000e+01 3.681000e-04 5.900000e-06 5.900000e-06 5.300000e-06 5.300000e-06 7.930952e-06 7.930952e-06
e+ 3.100000e+01 3.021000e+01 3.182000e+01 4.273000e-04 6.500000e-06 6.500000e-06 6.100000e-06 6.100000e-06 8.914034e-06 8.914034e-06
e+ 2.943000e+01 2.868000e+01 3.021000e+01 5.063000e-04 7.200000e-06 7.200000e-06 7.200000e-06 7.200000e-06 1.018234e-05 1.018234e-05
e+ 2.795000e+01 2.725000e+01 2.868000e+01 5.747000e-04 8.000000e-06 8.000000e-06 8.200000e-06 8.200000e-06 1.145600e-05 1.145600e-05
e+ 2.656000e+01 2.590000e+01 2.725000e+01 6.757000e-04 8.900000e-06 8.900000e-06 9.600000e-06 9.600000e-06 1.309084e-05 1.309084e-05
e+ 2.525000e+01 2.462000e+01 2.590000e+01 7.647000e-04 9.800000e-06 9.800000e-06 1.080000e-05 1.080000e-05 1.458355e-05 1.458355e-05
e+ 2.401000e+01 2.342000e+01 2.462000e+01 9.031000e-04 1.110000e-05 1.110000e-05 1.270000e-05 1.270000e-05 1.686713e-05 1.686713e-05
e+ 8.323000e+02 7.000000e+02 1.000000e+03 1.927000e-08 1.087000e-08 1.087000e-08 4.440000e-09 4.440000e-09 1.174183e-08 1.174183e-08
e+ 2.283000e+01 2.225000e+01 2.342000e+01 1.018000e-03 1.200000e-05 1.200000e-05 1.400000e-05 1.400000e-05 1.843909e-05 1.843909e-05
e+ 1.250000e+02 1.184000e+02 1.321000e+02 8.677000e-06 3.760000e-07 3.760000e-07 1.510000e-07 1.510000e-07 4.051876e-07 4.051876e-07
e+ 5.888000e+02 5.000000e+02 7.000000e+02 8.312000e-08 1.675000e-08 1.675000e-08 7.700000e-09 7.700000e-09 1.843509e-08 1.843509e-08
e+ 4.285000e+02 3.700000e+02 5.000000e+02 2.491000e-07 2.860000e-08 2.860000e-08 9.100000e-09 9.100000e-09 3.001283e-08 3.001283e-08
e+ 3.268000e+02 2.900000e+02 3.700000e+02 5.773000e-07 4.960000e-08 4.960000e-08 1.500000e-08 1.500000e-08 5.181853e-08 5.181853e-08
e+ 2.618000e+02 2.372000e+02 2.900000e+02 1.158000e-06 7.700000e-08 7.700000e-08 2.600000e-08 2.600000e-08 8.127115e-08 8.127115e-08
e+ 2.162000e+02 1.977000e+02 2.372000e+02 1.871000e-06 1.110000e-07 1.110000e-07 3.900000e-08 3.900000e-08 1.176520e-07 1.176520e-07
e+ 1.831000e+02 1.699000e+02 1.977000e+02 3.201000e-06 1.630000e-07 1.630000e-07 6.000000e-08 6.000000e-08 1.736923e-07 1.736923e-07
e+ 1.589000e+02 1.488000e+02 1.699000e+02 4.595000e-06 2.210000e-07 2.210000e-07 8.400000e-08 8.400000e-08 2.364255e-07 2.364255e-07
e+ 1.401000e+02 1.321000e+02 1.488000e+02 6.998000e-06 3.030000e-07 3.030000e-07 1.250000e-07 1.250000e-07 3.277713e-07 3.277713e-07
e+ 6.103000e+01 5.913000e+01 6.302000e+01 6.115000e-05 1.640000e-06 1.640000e-06 9.700000e-07 9.700000e-07 1.905387e-06 1.905387e-06
e+ 1.127000e+02 1.073000e+02 1.184000e+02 1.173000e-05 4.800000e-07 4.800000e-07 2.000000e-07 2.000000e-07 5.200000e-07 5.200000e-07
